coso,site,channel,origen
"/7811748/as_mob/deportes_accion/surf/portada","as","mob","amazonPrisa"
"/7811748/as_mob/deportes_accion/tierra","as","mob","amazonPrisa"
"/7811748/as_mob/deportes_accion/urbano","as","mob","amazonPrisa"
"/7811748/as_mob/deporteyvida/videos","as","mob","amazonPrisa"
"/7811748/as_mob/as/actualidad","as","mob","amazonPrisa"
"/7811748/as_mob/as/actualidad/portada","as","mob","amazonPrisa"
"/7811748/as_mob/en/football","as","mob","amazonPrisa"
"/7811748/as_mob/en/football/portada","as","mob","amazonPrisa"
"/7811748/as_mob/en/infografia","as","mob","amazonPrisa"
"/7811748/as_mob/en/latest_news","as","mob","amazonPrisa"
"/7811748/as_mob/en/latest_news/portada","as","mob","amazonPrisa"
"/7811748/as_mob/en/opinion","as","mob","amazonPrisa"
"/7811748/as_mob/en/opinion/portada","as","mob","amazonPrisa"
"/7811748/as_mob/en/other_sports","as","mob","amazonPrisa"
"/7811748/as_mob/en/portada","as","mob","amazonPrisa"
"/7811748/as_mob/en/reportajes","as","mob","amazonPrisa"
"/7811748/as_mob/en/videos","as","mob","amazonPrisa"
"/7811748/as_mob/encuestas","as","mob","amazonPrisa"
"/7811748/as_mob/entrevistas","as","mob","amazonPrisa"
"/7811748/as_mob/epik","as_epik","mob","amazonPrisa"
"/7811748/as_mob/epik/portada","as_epik","mob","amazonPrisa"
"/7811748/as_mob/epik/videos","as_epik","mob","amazonPrisa"
"/7811748/as_mob/esports/counter_strike","as_esports","mob","amazonPrisa"
"/7811748/as_mob/esports/league_of_legends","as_esports","mob","amazonPrisa"
"/7811748/as_mob/esports/mas_esports","as_esports","mob","amazonPrisa"
"/7811748/as_mob/esports/portada/portada","as_esports","mob","amazonPrisa"
"/7811748/as_mob/fotogalerias/baloncesto","as","mob","amazonPrisa"
"/7811748/as_mob/fotogalerias/buenavida","as","mob","amazonPrisa"
"/7811748/as_mob/fotogalerias/ciclismo","as","mob","amazonPrisa"
