coso,publisher,site,canal,format,position,origen
"417A2hzYTY","vocento","diariosur","any","display","mpu_local.9","richaudience"
"7PBsXV8Ai7","vocento","diariosur","any","display","skyd","richaudience"
"1KL6jbxxpQ","vocento","diariosur","any","display","skyi","richaudience"
"0xa7HzW2Df","vocento","diariosur","any","instream","Posv","richaudience"
"0DbmRiYnbN","vocento","diariosur","any","instream","Prev","richaudience"
"fQH7m2IYnt","vocento","diariosur","any","outstream","Outv","richaudience"
"1hos8PS7iq","vocento","diariosur","any","skin","Skin","richaudience"
"7mPG0akgWU","vocento","diariosur","any","skin","Skin","richaudience"
"8mg5vs7LXg","vocento","diariovasco","any","display","ldb","richaudience"
"1IcBv8zljf","vocento","diariovasco","any","display","ldb.2","richaudience"
"0GcRihMH6L","vocento","diariovasco","any","display","ldb.3","richaudience"
"cdWWAwbY8o","vocento","diariovasco","any","display","ldb.4","richaudience"
"IV3vxGBGor","vocento","diariovasco","any","display","ldb.5","richaudience"
"a0CUNiT2gT","vocento","diariovasco","any","display","ldb_local","richaudience"
"1RYJR16H24","vocento","diariovasco","any","display","ldb_local.2","richaudience"
"0EFbRjQz8Y","vocento","diariovasco","any","display","ldb_local.3","richaudience"
"0lNh6panSt","vocento","diariovasco","any","display","ldb_local.4","richaudience"
"0D7HFZwzyc","vocento","diariovasco","any","display","ldb_local.5","richaudience"
"dKFX9jhHcg","vocento","diariovasco","any","display","mpu","richaudience"
"AdCr2JdBrD","vocento","diariovasco","any","display","mpu.10","richaudience"
"oISCuZoXsU","vocento","diariovasco","any","display","mpu.2","richaudience"
"5a62WrR4iP","vocento","diariovasco","any","display","mpu.3","richaudience"
"1Oc9zUS3wD","vocento","diariovasco","any","display","mpu.4","richaudience"
"0G0WOKCuza","vocento","diariovasco","any","display","mpu.5","richaudience"
"kxcyxTiteo","vocento","diariovasco","any","display","mpu.6","richaudience"
"VxCEwJu29u","vocento","diariovasco","any","display","mpu.7","richaudience"
"0OS7BCDoSr","vocento","diariovasco","any","display","mpu.8","richaudience"
"19x93qXG2g","vocento","diariovasco","any","display","mpu.9","richaudience"
"0T6uWrSPKK","vocento","diariovasco","any","display","mpu_local","richaudience"
"rW5JP9g7rb","vocento","diariovasco","any","display","mpu_local.10","richaudience"
"1vzwsAMQVh","vocento","diariovasco","any","display","mpu_local.2","richaudience"
"0CMb1XWr96","vocento","diariovasco","any","display","mpu_local.3","richaudience"
"1vXHo6gniH","vocento","diariovasco","any","display","mpu_local.4","richaudience"
"1PpeJlZPCa","vocento","diariovasco","any","display","mpu_local.5","richaudience"
"Nm9fZFYH0W","vocento","diariovasco","any","display","mpu_local.6","richaudience"
"p0py7k1RK7","vocento","diariovasco","any","display","mpu_local.7","richaudience"
"wpHCdKq29p","vocento","diariovasco","any","display","mpu_local.8","richaudience"
"T2WZHxNDdG","vocento","diariovasco","any","display","mpu_local.9","richaudience"
"3HjF4MM0IU","vocento","diariovasco","any","display","skyd","richaudience"
"MKAiEHP4fR","vocento","diariovasco","any","display","skyi","richaudience"
"1a7Nncm8YQ","vocento","diariovasco","any","instream","Posv","richaudience"
"gj2j5DEkPb","vocento","diariovasco","any","instream","Prev","richaudience"
"YaSZUW9BSK","vocento","diariovasco","any","outstream","Outv","richaudience"
"0zzYCk6mZR","vocento","diariovasco","any","skin","Skin","richaudience"
"wy0JNRcCII","vocento","diariovasco","any","skin","Skin","richaudience"
"0wvWsTJt2B","vocento","elbierzonoticias","any","outstream","Outv","richaudience"
"1ztS1pu17B","vocento","elbierzonoticias","any","skin","Skin","richaudience"
"04SLgKXd0Y","vocento","elcomercio","any","display","ldb","richaudience"
"1GVGciovlH","vocento","elcomercio","any","display","ldb.2","richaudience"
"1GoshlmAQG","vocento","elcomercio","any","display","ldb.3","richaudience"
"KlI5j03W2z","vocento","elcomercio","any","display","ldb.4","richaudience"
"Tq1gIhaFcZ","vocento","elcomercio","any","display","ldb.5","richaudience"
"0NevNz6EQ5","vocento","elcomercio","any","display","ldb_local","richaudience"
"1SKFmd01bC","vocento","elcomercio","any","display","ldb_local.2","richaudience"
"0AytQl3fmS","vocento","elcomercio","any","display","ldb_local.3","richaudience"
"c1lg2QHNJF","vocento","elcomercio","any","display","ldb_local.4","richaudience"
"12vMWSlZRd","vocento","elcomercio","any","display","ldb_local.5","richaudience"
"0S2tj18p18","vocento","elcomercio","any","display","mpu","richaudience"
"PEukLVy5Y0","vocento","elcomercio","any","display","mpu.10","richaudience"
"1nfvDx1SRf","vocento","elcomercio","any","display","mpu.2","richaudience"
"9kZ8pAEulk","vocento","elcomercio","any","display","mpu.3","richaudience"
"1t0veqoFlf","vocento","elcomercio","any","display","mpu.4","richaudience"
"i5OrXqPVxf","vocento","elcomercio","any","display","mpu.5","richaudience"
"1U0bYtraOq","vocento","elcomercio","any","display","mpu.6","richaudience"
"0Zbj78JZ9T","vocento","elcomercio","any","display","mpu.7","richaudience"
"FrQ1tGQmRQ","vocento","elcomercio","any","display","mpu.8","richaudience"
"DueWdfWGA9","vocento","elcomercio","any","display","mpu.9","richaudience"
"01I3cXkycb","vocento","elcomercio","any","display","mpu_local","richaudience"
"0I88y8ZUsr","vocento","elcomercio","any","display","mpu_local.10","richaudience"
"0jTsOW6KRm","vocento","elcomercio","any","display","mpu_local.2","richaudience"
"0x7lvnRaV7","vocento","elcomercio","any","display","mpu_local.3","richaudience"
"ysBXMNlKSQ","vocento","elcomercio","any","display","mpu_local.4","richaudience"
"09Xg5eqsm0","vocento","elcomercio","any","display","mpu_local.5","richaudience"
"1z9YDteZ3x","vocento","elcomercio","any","display","mpu_local.6","richaudience"
"KACWSLzhkI","vocento","elcomercio","any","display","mpu_local.7","richaudience"
"o96UBZLr2J","vocento","elcomercio","any","display","mpu_local.8","richaudience"
"08E9Q3zacn","vocento","elcomercio","any","display","mpu_local.9","richaudience"
"0MRnqUUmhW","vocento","elcomercio","any","display","skyd","richaudience"
"0AaU2GsUND","vocento","elcomercio","any","display","skyi","richaudience"
"OimWIPCCgr","vocento","elcomercio","any","instream","Posv","richaudience"
"AvjFHvja0L","vocento","elcomercio","any","instream","Prev","richaudience"
"0ZO20yBREm","vocento","elcomercio","any","outstream","Outv","richaudience"
"1knoOWm9MS","vocento","elcomercio","any","skin","Skin","richaudience"
"ynsxM2uy1a","vocento","elcomercio","any","skin","Skin","richaudience"
"0M2bMtKfR3","vocento","elcorreo","any","display","ldb","richaudience"
"0PeHFDUf3A","vocento","elcorreo","any","display","ldb.2","richaudience"
"NXxKwE8VhX","vocento","elcorreo","any","display","ldb.3","richaudience"
"162xzD6DsK","vocento","elcorreo","any","display","ldb.4","richaudience"
"19H9BSonIH","vocento","elcorreo","any","display","ldb.5","richaudience"
"8xlnQ5PFVR","vocento","elcorreo","any","display","ldb_local","richaudience"
"3OzAnE8FTd","vocento","elcorreo","any","display","ldb_local.2","richaudience"
"TAgkgNAnP6","vocento","elcorreo","any","display","ldb_local.3","richaudience"
"LVH9HoWuiD","vocento","elcorreo","any","display","ldb_local.4","richaudience"
"Hxns4xyRwl","vocento","elcorreo","any","display","ldb_local.5","richaudience"
"zOC4Dfb62F","vocento","elcorreo","any","display","mpu","richaudience"
"H1HDrE9wZp","vocento","elcorreo","any","display","mpu.10","richaudience"
"Hv7qO1VKes","vocento","elcorreo","any","display","mpu.2","richaudience"
"0LFdSVTzmv","vocento","elcorreo","any","display","mpu.3","richaudience"
"0zs6Ux0Ifh","vocento","elcorreo","any","display","mpu.4","richaudience"
"0wfHEAxZ47","vocento","elcorreo","any","display","mpu.5","richaudience"
"08oFrBsSR4","vocento","elcorreo","any","display","mpu.6","richaudience"
"3tz4XMxU2q","vocento","elcorreo","any","display","mpu.7","richaudience"
"10BacaV4kR","vocento","elcorreo","any","display","mpu.8","richaudience"
"0tZdsCx3n5","vocento","elcorreo","any","display","mpu.9","richaudience"
"0BgKlpy51j","vocento","elcorreo","any","display","mpu_local","richaudience"
"SPxrzAh3Ig","vocento","elcorreo","any","display","mpu_local.10","richaudience"
"02pWvRBxfC","vocento","elcorreo","any","display","mpu_local.2","richaudience"
"0KP707EQIC","vocento","elcorreo","any","display","mpu_local.3","richaudience"
"kj7WpwNZZx","vocento","elcorreo","any","display","mpu_local.4","richaudience"
"0xuEKvsiGF","vocento","elcorreo","any","display","mpu_local.5","richaudience"
"1UdnTW3Y90","vocento","elcorreo","any","display","mpu_local.6","richaudience"
"tCfFtCATzw","vocento","elcorreo","any","display","mpu_local.7","richaudience"
"0XpcUmobGo","vocento","elcorreo","any","display","mpu_local.8","richaudience"
"dFKkXb7Bi3","vocento","elcorreo","any","display","mpu_local.9","richaudience"
"oQ7T5hs0U2","vocento","elcorreo","any","display","skyd","richaudience"
"31NORjwGUn","vocento","elcorreo","any","display","skyi","richaudience"
"WfLJtaEHA9","vocento","elcorreo","any","instream","Posv","richaudience"
"1DJcMNS3Ms","vocento","elcorreo","any","instream","Prev","richaudience"
"KmInlzSAux","vocento","elcorreo","any","outstream","Outv","richaudience"
"1tp35oe5Ps","vocento","elcorreo","any","skin","Skin","richaudience"
"NP3miDWaK6","vocento","elcorreo","any","skin","Skin","richaudience"
"5IxYUCcYoT","vocento","eldiariomontanes","any","display","ldb","richaudience"
"f1ajTc13VC","vocento","eldiariomontanes","any","display","ldb.2","richaudience"
"vs9ga8eOpz","vocento","eldiariomontanes","any","display","ldb.3","richaudience"
"BCJo41LDJQ","vocento","eldiariomontanes","any","display","ldb.4","richaudience"
"0MZX9juIKT","vocento","eldiariomontanes","any","display","ldb.5","richaudience"
"0N1NgqNx5y","vocento","eldiariomontanes","any","display","ldb_local","richaudience"
"nTjK25Kzx7","vocento","eldiariomontanes","any","display","ldb_local.2","richaudience"
"1d3rGxN1Oo","vocento","eldiariomontanes","any","display","ldb_local.3","richaudience"
"2ESnt2Wmau","vocento","eldiariomontanes","any","display","ldb_local.4","richaudience"
"1MKuUMecN8","vocento","eldiariomontanes","any","display","ldb_local.5","richaudience"
"mIjQMVFKEH","vocento","eldiariomontanes","any","display","mpu","richaudience"
"1XekEcyrJf","vocento","eldiariomontanes","any","display","mpu.10","richaudience"
"1Obw2LtE3U","vocento","eldiariomontanes","any","display","mpu.2","richaudience"
"If2qIP24lm","vocento","eldiariomontanes","any","display","mpu.3","richaudience"
"3RARUg2QDM","vocento","eldiariomontanes","any","display","mpu.4","richaudience"
"1RclvRq5pn","vocento","eldiariomontanes","any","display","mpu.5","richaudience"
"zTrVtUYWHt","vocento","eldiariomontanes","any","display","mpu.6","richaudience"
"YxHx08kuqc","vocento","eldiariomontanes","any","display","mpu.7","richaudience"
"1dLBFEHTBt","vocento","eldiariomontanes","any","display","mpu.8","richaudience"
"5kUK5P8BfC","vocento","eldiariomontanes","any","display","mpu.9","richaudience"
"Y4C3eICkPG","vocento","eldiariomontanes","any","display","mpu_local","richaudience"
"0Tc52AJusL","vocento","eldiariomontanes","any","display","mpu_local.10","richaudience"
"JqFnOtD2Bj","vocento","eldiariomontanes","any","display","mpu_local.2","richaudience"
"1X2WZ1DxWu","vocento","eldiariomontanes","any","display","mpu_local.3","richaudience"
"N5GIH8UFm0","vocento","eldiariomontanes","any","display","mpu_local.4","richaudience"
"y3BOyG263n","vocento","eldiariomontanes","any","display","mpu_local.5","richaudience"
"8pKo3xEGqg","vocento","eldiariomontanes","any","display","mpu_local.6","richaudience"
"14zZNzFEj9","vocento","eldiariomontanes","any","display","mpu_local.7","richaudience"
"X4NYSVsVxg","vocento","eldiariomontanes","any","display","mpu_local.8","richaudience"
"rtc6EjL3Vl","vocento","eldiariomontanes","any","display","mpu_local.9","richaudience"
"0EMtNO5Tpk","vocento","eldiariomontanes","any","display","skyd","richaudience"
"0sXYcD6mhs","vocento","eldiariomontanes","any","display","skyi","richaudience"
"1yX0ESlfdt","vocento","eldiariomontanes","any","instream","Posv","richaudience"
"o2ixhjlWkv","vocento","eldiariomontanes","any","instream","Prev","richaudience"
"h1ShwjXTB1","vocento","eldiariomontanes","any","outstream","Outv","richaudience"
"gtl3KfBGZO","vocento","eldiariomontanes","any","skin","Skin","richaudience"
"OXL7RhjxiD","vocento","eldiariomontanes","any","skin","Skin","richaudience"
"W4HXDz4wNW","vocento","elnortedecastilla","any","display","ldb","richaudience"
"1HupwQNhcZ","vocento","elnortedecastilla","any","display","ldb.2","richaudience"
"0OEXxRLmDm","vocento","elnortedecastilla","any","display","ldb.3","richaudience"
"1piJglhUXm","vocento","elnortedecastilla","any","display","ldb.4","richaudience"
"1MGv51pDRZ","vocento","elnortedecastilla","any","display","ldb.5","richaudience"
"FmgZ4tAdKf","vocento","elnortedecastilla","any","display","ldb_local","richaudience"
"m0qqjspRwy","vocento","elnortedecastilla","any","display","ldb_local.2","richaudience"
"1PdvnllS4E","vocento","elnortedecastilla","any","display","ldb_local.3","richaudience"
"1bNGRyaNaj","vocento","elnortedecastilla","any","display","ldb_local.4","richaudience"
"1VputaGftT","vocento","elnortedecastilla","any","display","ldb_local.5","richaudience"
"0J4A0QAWvV","vocento","elnortedecastilla","any","display","mpu","richaudience"
"1LJULnKfHg","vocento","elnortedecastilla","any","display","mpu.10","richaudience"
"CjPXfa7sNG","vocento","elnortedecastilla","any","display","mpu.2","richaudience"
"EFrS8Tv5lH","vocento","elnortedecastilla","any","display","mpu.3","richaudience"
"0tJ8ppyrNk","vocento","elnortedecastilla","any","display","mpu.4","richaudience"
"VFX5v3i0L2","vocento","elnortedecastilla","any","display","mpu.5","richaudience"
"NDZHV61co2","vocento","elnortedecastilla","any","display","mpu.6","richaudience"
"88uDsvKTAa","vocento","elnortedecastilla","any","display","mpu.7","richaudience"
"gd0E2lRB53","vocento","elnortedecastilla","any","display","mpu.8","richaudience"
"Kvn2c90CuX","vocento","elnortedecastilla","any","display","mpu.9","richaudience"
"1kto6ftMT0","vocento","elnortedecastilla","any","display","mpu_local","richaudience"
"0fL4MMmTiy","vocento","elnortedecastilla","any","display","mpu_local.10","richaudience"
"jP2Hxy64eW","vocento","elnortedecastilla","any","display","mpu_local.2","richaudience"
"0pFTcxOfiF","vocento","elnortedecastilla","any","display","mpu_local.3","richaudience"
"1jPABz5VDK","vocento","elnortedecastilla","any","display","mpu_local.4","richaudience"
"14ZBhT7GHY","vocento","elnortedecastilla","any","display","mpu_local.5","richaudience"
"4s2TIQS1Ct","vocento","elnortedecastilla","any","display","mpu_local.6","richaudience"
"GRQXFCtZeq","vocento","elnortedecastilla","any","display","mpu_local.7","richaudience"
"0hnVM4t1wF","vocento","elnortedecastilla","any","display","mpu_local.8","richaudience"
"WzDg43606V","vocento","elnortedecastilla","any","display","mpu_local.9","richaudience"
"1XE0Ic3KsP","vocento","elnortedecastilla","any","display","skyd","richaudience"
"2rK66g4iQW","vocento","elnortedecastilla","any","display","skyi","richaudience"
"ElFrX5ClOW","vocento","elnortedecastilla","any","instream","Posv","richaudience"
"AnYRQMCGvt","vocento","elnortedecastilla","any","instream","Prev","richaudience"
"iVpNDuf2G1","vocento","elnortedecastilla","any","outstream","Outv","richaudience"
"3590qZMMaq","vocento","elnortedecastilla","any","skin","Skin","richaudience"
"1nT3Z9sjxj","vocento","elnortedecastilla","any","skin","Skin","richaudience"
"5T404uGEpb","vocento","elnortedecastilla","any","skin","Skin","richaudience"
"0zVpHDhwUe","vocento","hoy","any","display","ldb","richaudience"
"g2JLCInHdx","vocento","hoy","any","display","ldb.2","richaudience"
"a1WeQgJMIs","vocento","hoy","any","display","ldb.3","richaudience"
"20A4BCG2rA","vocento","hoy","any","display","ldb.4","richaudience"
"PhDemF1jrE","vocento","hoy","any","display","ldb.5","richaudience"
"HlU7Ns2eRY","vocento","hoy","any","display","ldb_local","richaudience"
"lyPSyJzrML","vocento","hoy","any","display","ldb_local.2","richaudience"
"1pSdNnzEVE","vocento","hoy","any","display","ldb_local.3","richaudience"
"090i2XDMMo","vocento","hoy","any","display","ldb_local.4","richaudience"
"onXur19VCG","vocento","hoy","any","display","ldb_local.5","richaudience"
"bXpmieEtDq","vocento","hoy","any","display","mpu","richaudience"
"yYNMgCik4H","vocento","hoy","any","display","mpu.10","richaudience"
"ndpvc32E4A","vocento","hoy","any","display","mpu.2","richaudience"
"0AvztrReve","vocento","hoy","any","display","mpu.3","richaudience"
"0y5h1zSQhM","vocento","hoy","any","display","mpu.4","richaudience"
"vjU5Q2xHzZ","vocento","hoy","any","display","mpu.5","richaudience"
"1P2Iz819Ug","vocento","hoy","any","display","mpu.6","richaudience"
"1ul4vObNUg","vocento","hoy","any","display","mpu.7","richaudience"
"aSL49jqWfA","vocento","hoy","any","display","mpu.8","richaudience"
"EDcZFBxnhO","vocento","hoy","any","display","mpu.9","richaudience"
"1aYJtoxW4Q","vocento","hoy","any","display","mpu_local","richaudience"
"2gZSvynYvN","vocento","hoy","any","display","mpu_local.10","richaudience"
"0vfgo70vV3","vocento","hoy","any","display","mpu_local.2","richaudience"
"0cmzWLRJSC","vocento","hoy","any","display","mpu_local.3","richaudience"
"Eh43YWYLiN","vocento","hoy","any","display","mpu_local.4","richaudience"
"1Dp3ow3sih","vocento","hoy","any","display","mpu_local.5","richaudience"
"mR82q4uel6","vocento","hoy","any","display","mpu_local.6","richaudience"
"0e1QW9ARgV","vocento","hoy","any","display","mpu_local.7","richaudience"
"0b7WyMy2AT","vocento","hoy","any","display","mpu_local.8","richaudience"
"0Ls7CBvZMb","vocento","hoy","any","display","mpu_local.9","richaudience"
"0cjUyHfuSQ","vocento","hoy","any","display","skyd","richaudience"
"G0BH1US4W5","vocento","hoy","any","display","skyi","richaudience"
"0uZnKuFwgY","vocento","hoy","any","instream","Posv","richaudience"
"17vHcrZfeO","vocento","hoy","any","instream","Prev","richaudience"
"2FyCZH2cTW","vocento","hoy","any","outstream","Outv","richaudience"
"1XmdiwD1Ro","vocento","hoy","any","skin","Skin","richaudience"
"kw4zqIQSmZ","vocento","hoy","any","skin","Skin","richaudience"
"05HUgFG5hE","vocento","ideal","any","display","ldb","richaudience"
"0q9IwCO2Ox","vocento","ideal","any","display","ldb.2","richaudience"
"0OvHOoQtNi","vocento","ideal","any","display","ldb.3","richaudience"
"1KdmBPXAn9","vocento","ideal","any","display","ldb.4","richaudience"
"06TYwKFMmN","vocento","ideal","any","display","ldb.5","richaudience"
"1fFa9OSVl1","vocento","ideal","any","display","ldb_local","richaudience"
"cCiNCgLTih","vocento","ideal","any","display","ldb_local.2","richaudience"
"0UPxueH3d5","vocento","ideal","any","display","ldb_local.3","richaudience"
"1rcGv7ude9","vocento","ideal","any","display","ldb_local.4","richaudience"
"lVgTWklGSU","vocento","ideal","any","display","ldb_local.5","richaudience"
"swkg5B5gtW","vocento","ideal","any","display","mpu","richaudience"
"1T0WRmiJX5","vocento","ideal","any","display","mpu.10","richaudience"
"NFWwabXICf","vocento","ideal","any","display","mpu.2","richaudience"
"rRY8uPaaWN","vocento","ideal","any","display","mpu.3","richaudience"
"0M9IJGybgE","vocento","ideal","any","display","mpu.4","richaudience"
"R83drsBj5z","vocento","ideal","any","display","mpu.5","richaudience"
"03GCJrb5Jf","vocento","ideal","any","display","mpu.6","richaudience"
"1hOlUR2Oza","vocento","ideal","any","display","mpu.7","richaudience"
"oyktMoK0Xo","vocento","ideal","any","display","mpu.8","richaudience"
"0gA1cdgh1S","vocento","ideal","any","display","mpu.9","richaudience"
"055hu7gatp","vocento","ideal","any","display","mpu_local","richaudience"
"1g1zlVcMAj","vocento","ideal","any","display","mpu_local.10","richaudience"
"0owqt8BgbN","vocento","ideal","any","display","mpu_local.2","richaudience"
"0HZtj2r88V","vocento","ideal","any","display","mpu_local.3","richaudience"
"CrJnjAuukM","vocento","ideal","any","display","mpu_local.4","richaudience"
"0nM2yJNPbn","vocento","ideal","any","display","mpu_local.5","richaudience"
"14Cibf3aLL","vocento","ideal","any","display","mpu_local.6","richaudience"
"2jt80L8Ahx","vocento","ideal","any","display","mpu_local.7","richaudience"
"POJ4eCbLEe","vocento","ideal","any","display","mpu_local.8","richaudience"
"Fj3dc0jCG8","vocento","ideal","any","display","mpu_local.9","richaudience"
"1u3QUzNGkC","vocento","ideal","any","display","skyd","richaudience"
"cJW6qq606z","vocento","ideal","any","display","skyi","richaudience"
"0v39ar81yp","vocento","ideal","any","instream","Posv","richaudience"
"1hcNW7mW3v","vocento","ideal","any","instream","Prev","richaudience"
"WK6yAPaZXM","vocento","ideal","any","outstream","Outv","richaudience"
"06l0EEtxvJ","vocento","ideal","any","skin","Skin","richaudience"
"1M8B0IshWN","vocento","ideal","any","skin","Skin","richaudience"
"KWfnabKms1","vocento","ideal","any","skin","Skin","richaudience"
"1HFZgQDzR3","vocento","larioja","any","display","ldb","richaudience"
"UFZBqyEd76","vocento","larioja","any","display","ldb.2","richaudience"
"KUt6F9oyvO","vocento","larioja","any","display","ldb.3","richaudience"
"I4eVyeIIWc","vocento","larioja","any","display","ldb.4","richaudience"
"1aIwQtVOYP","vocento","larioja","any","display","ldb.5","richaudience"
"0ng0WyYEnD","vocento","larioja","any","display","ldb_local","richaudience"
"0uUzTjuKwA","vocento","larioja","any","display","ldb_local.2","richaudience"
"00ifgCospF","vocento","larioja","any","display","ldb_local.3","richaudience"
"Cp7DjXz4Ta","vocento","larioja","any","display","ldb_local.4","richaudience"
"tbErk0v2Hz","vocento","larioja","any","display","ldb_local.5","richaudience"
"183020iHuO","vocento","larioja","any","display","mpu","richaudience"
"0MhRl7nsvW","vocento","larioja","any","display","mpu.10","richaudience"
"0hUJouNMYx","vocento","larioja","any","display","mpu.2","richaudience"
"VHAy39wMem","vocento","larioja","any","display","mpu.3","richaudience"
"tOdI5m1faq","vocento","larioja","any","display","mpu.4","richaudience"
"BEQOwt0v6a","vocento","larioja","any","display","mpu.5","richaudience"
"zMDDsQSAHe","vocento","larioja","any","display","mpu.6","richaudience"
"1a0pHr1FfS","vocento","larioja","any","display","mpu.7","richaudience"
"caLiGJO033","vocento","larioja","any","display","mpu.8","richaudience"
"1myH0Ufkn5","vocento","larioja","any","display","mpu.9","richaudience"
"0WergkS9LP","vocento","larioja","any","display","mpu_local","richaudience"
"nR9IIjQZo0","vocento","larioja","any","display","mpu_local.10","richaudience"
"oYRMyTh6dL","vocento","larioja","any","display","mpu_local.2","richaudience"
"PGxe1m7QGy","vocento","larioja","any","display","mpu_local.3","richaudience"
"uPk4916Afi","vocento","larioja","any","display","mpu_local.4","richaudience"
"i9TQYPIPBp","vocento","larioja","any","display","mpu_local.5","richaudience"
"SvQqTroCRG","vocento","larioja","any","display","mpu_local.6","richaudience"
"VsM85lsTWb","vocento","larioja","any","display","mpu_local.7","richaudience"
"1AAd1q4TVP","vocento","larioja","any","display","mpu_local.8","richaudience"
"1o1hemblmn","vocento","larioja","any","display","mpu_local.9","richaudience"
"KWtvDyJxeQ","vocento","larioja","any","display","skyd","richaudience"
"1pmobbL2d8","vocento","larioja","any","display","skyi","richaudience"
"0PJ5KsFboi","vocento","larioja","any","instream","Posv","richaudience"
"RQbkIQr9JR","vocento","larioja","any","instream","Prev","richaudience"
"lBxPu8vR9A","vocento","larioja","mob","skin","Skin","richaudience"
"1Jknci83Gu","vocento","larioja","any","outstream","Outv","richaudience"
"0DVjtkQLLL","vocento","larioja","any","skin","Skin","richaudience"
"0foiFyozCW","vocento","larioja","any","skin","Skin","richaudience"
"9ud3EZg9KL","vocento","lasprovincias","any","display","ldb","richaudience"
"03RtuutWve","vocento","lasprovincias","any","display","ldb.2","richaudience"
"Wf7aHQ8a3v","vocento","lasprovincias","any","display","ldb.3","richaudience"
"0fxK7bg2Bh","vocento","lasprovincias","any","display","ldb.4","richaudience"
"ux6XyAAtgh","vocento","lasprovincias","any","display","ldb.5","richaudience"
"KVxTVAaF5w","vocento","lasprovincias","any","display","ldb_local","richaudience"
"XI2x5Vtgsy","vocento","lasprovincias","any","display","ldb_local.2","richaudience"
"00pdICXkjG","vocento","lasprovincias","any","display","ldb_local.3","richaudience"
"119z8071BO","vocento","lasprovincias","any","display","ldb_local.4","richaudience"
"UBenNj5tnH","vocento","lasprovincias","any","display","ldb_local.5","richaudience"
"12tnXtttrT","vocento","lasprovincias","any","display","mpu","richaudience"
"1B7vRrECaj","vocento","lasprovincias","any","display","mpu.10","richaudience"
"1g1OLJBPcz","vocento","lasprovincias","any","display","mpu.2","richaudience"
"Yc3deQol2A","vocento","lasprovincias","any","display","mpu.3","richaudience"
"0UzhcEyi9Q","vocento","lasprovincias","any","display","mpu.4","richaudience"
"1FNbTzMdRA","vocento","lasprovincias","any","display","mpu.5","richaudience"
"ciq2grfWle","vocento","lasprovincias","any","display","mpu.6","richaudience"
"AmoxhYrG3M","vocento","lasprovincias","any","display","mpu.7","richaudience"
"w8TED6onEz","vocento","lasprovincias","any","display","mpu.8","richaudience"
"xRtMGDnJXr","vocento","lasprovincias","any","display","mpu.9","richaudience"
"lq59KI2o5k","vocento","lasprovincias","any","display","mpu_local","richaudience"
"0DYzMXYqOs","vocento","lasprovincias","any","display","mpu_local.10","richaudience"
"020n1Uqkhq","vocento","lasprovincias","any","display","mpu_local.2","richaudience"
"0qBqHeZNU9","vocento","lasprovincias","any","display","mpu_local.3","richaudience"
"09S4dBgbhQ","vocento","lasprovincias","any","display","mpu_local.4","richaudience"
"kPMDvTTW40","vocento","lasprovincias","any","display","mpu_local.5","richaudience"
"3bZgFzH2Tc","vocento","lasprovincias","any","display","mpu_local.6","richaudience"
"17kOj0VY2Q","vocento","lasprovincias","any","display","mpu_local.7","richaudience"
"1xhJOEH3hH","vocento","lasprovincias","any","display","mpu_local.8","richaudience"
"hRUwyxh7hk","vocento","lasprovincias","any","display","mpu_local.9","richaudience"
"4ZDMIhgTr7","vocento","lasprovincias","any","display","skyd","richaudience"
"Il2bOFmiED","vocento","lasprovincias","any","display","skyi","richaudience"
"0vhQUCTFhI","vocento","lasprovincias","any","instream","Posv","richaudience"
"0XszcjiVsq","vocento","lasprovincias","any","instream","Prev","richaudience"
"848km1X0I2","vocento","lasprovincias","any","outstream","Outv","richaudience"
"1h3gSkPHsi","vocento","lasprovincias","any","skin","Skin","richaudience"
"hh7GUzDAcA","vocento","lasprovincias","any","skin","Skin","richaudience"
"0RSqEgfIDg","vocento","laverdad","any","display","ldb","richaudience"
"1v3BajNjjh","vocento","laverdad","any","display","ldb.2","richaudience"
"2szgJtniYR","vocento","laverdad","any","display","ldb.3","richaudience"
"1fNRzJF3aX","vocento","laverdad","any","display","ldb.4","richaudience"
"1pM84JDIIq","vocento","laverdad","any","display","ldb.5","richaudience"
"4kMgcG5NE5","vocento","laverdad","any","display","ldb_local","richaudience"
"RDPCCnoIKF","vocento","laverdad","any","display","ldb_local.2","richaudience"
"C1FQzloiOu","vocento","laverdad","any","display","ldb_local.3","richaudience"
"Nw1N7DIEVR","vocento","laverdad","any","display","ldb_local.4","richaudience"
"16ubwdcmIQ","vocento","laverdad","any","display","ldb_local.5","richaudience"
"ez0N3lRa4e","vocento","laverdad","any","display","mpu","richaudience"
"tSsndgaWlY","vocento","laverdad","any","display","mpu.10","richaudience"
"0mlQxKx6j4","vocento","laverdad","any","display","mpu.2","richaudience"
"eT7YN3Ozf1","vocento","laverdad","any","display","mpu.3","richaudience"
"HPuZZ8bPNz","vocento","laverdad","any","display","mpu.4","richaudience"
"FE8s4RLTiJ","vocento","laverdad","any","display","mpu.5","richaudience"
"0CP89higXp","vocento","laverdad","any","display","mpu.6","richaudience"
"La0oJkdTIw","vocento","laverdad","any","display","mpu.7","richaudience"
"0lbe5GTbQy","vocento","laverdad","any","display","mpu.8","richaudience"
"1QXE79VOFI","vocento","laverdad","any","display","mpu.9","richaudience"
"11nEcbEBDy","vocento","laverdad","any","display","mpu_local","richaudience"
"1wIxOl7sgm","vocento","laverdad","any","display","mpu_local.10","richaudience"
