coso	site	origen
pre-www.diariosur.es	diariosur	criteoDomain
pre-www.malagaenlamesa.com	diariosur	criteoDomain
proyectos.diariosur.es	diariosur	criteoDomain
secure.diariosur.es	diariosur	criteoDomain
unicaja.diariosur.es	diariosur	criteoDomain
foros.diariovasco.com	diariovasco	criteoDomain
fotolector.diariovasco.com	diariovasco	criteoDomain
guiagastronomika.diariovasco.com	diariovasco	criteoDomain
local-real-sociedad.diariovasco.com	diariovasco	criteoDomain
local-www.diariovasco.com	diariovasco	criteoDomain
mendiz-mendi.diariovasco.com	diariovasco	criteoDomain
des-eguraldia.diariovasco.com	diariovasco	criteoDomain
des-mendiz-mendi.diariovasco.com	diariovasco	criteoDomain
des-www.diariovasco.com	diariovasco	criteoDomain
diariovasco.com	diariovasco	criteoDomain
diariovasco.com.	diariovasco	criteoDomain
agenda.diariovasco.com	diariovasco	criteoDomain
app2.diariovasco.com	diariovasco	criteoDomain
areapersonal.diariovasco.com	diariovasco	criteoDomain
blogs.diariovasco.com	diariovasco	criteoDomain
blogs.diariovasco.com.	diariovasco	criteoDomain
blogs-new.diariovasco.com	diariovasco	criteoDomain
cdn.diariovasco.com	diariovasco	criteoDomain
clasica-san-sebastian.diariovasco.com	diariovasco	criteoDomain
concursos.diariovasco.com	diariovasco	criteoDomain
new-clasica-san-sebastian.diariovasco.com	diariovasco	criteoDomain
new-real-sociedad.diariovasco.com	diariovasco	criteoDomain
new-sdeibar.diariovasco.com	diariovasco	criteoDomain
new-tamborrada.diariovasco.com	diariovasco	criteoDomain
new-vueltapaisvasco.diariovasco.com	diariovasco	criteoDomain
new-www.diariovasco.com	diariovasco	criteoDomain
playas.diariovasco.com	diariovasco	criteoDomain
pre-blogs.diariovasco.com	diariovasco	criteoDomain
pre-preview-www.diariovasco.com	diariovasco	criteoDomain
preview-www.diariovasco.com	diariovasco	criteoDomain
pre-www.diariovasco.com	diariovasco	criteoDomain
real-sociedad.diariovasco.com	diariovasco	criteoDomain
sdeibar.diariovasco.com	diariovasco	criteoDomain
tamborrada.diariovasco.com	diariovasco	criteoDomain
vueltapaisvasco.diariovasco.com	diariovasco	criteoDomain
ww.diariovasco.com	diariovasco	criteoDomain
elbierzonoticias.com	elbierzonoticias	criteoDomain
local-www.elbierzonoticias.com	elbierzonoticias	criteoDomain
new-www.elbierzonoticias.com	elbierzonoticias	criteoDomain
elcomercio.es	elcomercio	criteoDomain
elcomercio.es.	elcomercio	criteoDomain
esquelas.elcomercio.es	elcomercio	criteoDomain
hemeroteca.elcomercio.es	elcomercio	criteoDomain
leer.elcomercio.es	elcomercio	criteoDomain
local-hemeroteca.elcomercio.es	elcomercio	criteoDomain
local-www.elcomercio.es	elcomercio	criteoDomain
loteria.elcomercio.es	elcomercio	criteoDomain
mejorweb.elcomercio.es	elcomercio	criteoDomain
blogs.elcomercio.es	elcomercio	criteoDomain
blogs-new.elcomercio.es	elcomercio	criteoDomain
canales.elcomercio.es	elcomercio	criteoDomain
clasificaciones.elcomercio.es	elcomercio	criteoDomain
agenda.elcomercio.es	elcomercio	criteoDomain
app.elcomercio.es	elcomercio	criteoDomain
areapersonal.elcomercio.es	elcomercio	criteoDomain
new-www.elcomercio.es	elcomercio	criteoDomain
pre-blogs.elcomercio.es	elcomercio	criteoDomain
pre-hemeroteca.elcomercio.es	elcomercio	criteoDomain
preview-www.elcomercio.es	elcomercio	criteoDomain
pre-www.elcomercio.es	elcomercio	criteoDomain
proyectos.elcomercio.es	elcomercio	criteoDomain
proyectos-vm.elcomercio.es	elcomercio	criteoDomain
secure.elcomercio.es	elcomercio	criteoDomain
hemeroteca.elcorreo.com	elcorreo	criteoDomain
info.elcorreo.com	elcorreo	criteoDomain
inscripciones.elcorreo.com	elcorreo	criteoDomain
jantour.elcorreo.com	elcorreo	criteoDomain
leer.elcorreo.com	elcorreo	criteoDomain
local-agenda.elcorreo.com	elcorreo	criteoDomain
local-cartelera.elcorreo.com	elcorreo	criteoDomain
local-hemeroteca.elcorreo.com	elcorreo	criteoDomain
local-www.elcorreo.com	elcorreo	criteoDomain
loteria.elcorreo.com	elcorreo	criteoDomain
mirandes.elcorreo.com	elcorreo	criteoDomain
new-alaves.elcorreo.com	elcorreo	criteoDomain
new-athletic.elcorreo.com	elcorreo	criteoDomain
new-baskonia.elcorreo.com	elcorreo	criteoDomain
new-bilbaobasket.elcorreo.com	elcorreo	criteoDomain
new-www.elcorreo.com	elcorreo	criteoDomain
pasatiempos.elcorreo.com	elcorreo	criteoDomain
pre1-www.elcorreo.com	elcorreo	criteoDomain
pre-athletic.elcorreo.com	elcorreo	criteoDomain
pre-hemeroteca.elcorreo.com	elcorreo	criteoDomain
preview-www.elcorreo.com	elcorreo	criteoDomain
pro0-www.elcorreo.com	elcorreo	criteoDomain
rutas.elcorreo.com	elcorreo	criteoDomain
secure.elcorreo.com	elcorreo	criteoDomain
servicios.elcorreo.com	elcorreo	criteoDomain
trafico.elcorreo.com	elcorreo	criteoDomain
agenda.elcorreo.com	elcorreo	criteoDomain
alaves.elcorreo.com	elcorreo	criteoDomain
app.elcorreo.com	elcorreo	criteoDomain
areapersonal.elcorreo.com	elcorreo	criteoDomain
athletic.elcorreo.com	elcorreo	criteoDomain
baskonia.elcorreo.com	elcorreo	criteoDomain
bilbaobasket.elcorreo.com	elcorreo	criteoDomain
blogs.elcorreo.com	elcorreo	criteoDomain
comercios-locales.elcorreo.com	elcorreo	criteoDomain
des-vocuser.elcorreo.com	elcorreo	criteoDomain
agenda-origin.elcorreo.com	elcorreo	criteoDomain
athletic.elcorreo.com.	elcorreo	criteoDomain
blogs-new.elcorreo.com	elcorreo	criteoDomain
concursos.elcorreo.com	elcorreo	criteoDomain
desn.elcorreo.com	elcorreo	criteoDomain
des-www.elcorreo.com	elcorreo	criteoDomain
elcorreo.com	elcorreo	criteoDomain
elcorreo.com.	elcorreo	criteoDomain
especial.elcorreo.com	elcorreo	criteoDomain
esquelas.elcorreo.com	elcorreo	criteoDomain
kioskoymas.elcorreo.com	elcorreo	criteoDomain
local-athletic.elcorreo.com	elcorreo	criteoDomain
local-canalmeteo-v2.elcorreo.com	elcorreo	criteoDomain
new-mirandes.elcorreo.com	elcorreo	criteoDomain
pre2-www.elcorreo.com	elcorreo	criteoDomain
pre3-www.elcorreo.com	elcorreo	criteoDomain
pre-agenda.elcorreo.com	elcorreo	criteoDomain
pre-blogs.elcorreo.com	elcorreo	criteoDomain
pre-cartelera.elcorreo.com	elcorreo	criteoDomain
pre-local.elcorreo.com	elcorreo	criteoDomain
pren.elcorreo.com	elcorreo	criteoDomain
pre-www.elcorreo.com	elcorreo	criteoDomain
pre-xl.elcorreo.com	elcorreo	criteoDomain
sire.elcorreo.com	elcorreo	criteoDomain
eldiariomontanes.es	eldiariomontanes	criteoDomain
eldiariomontanes.es.	eldiariomontanes	criteoDomain
hemeroteca.eldiariomontanes.es	eldiariomontanes	criteoDomain
hemeroteca.eldiariomontanes.es.	eldiariomontanes	criteoDomain
local-hemeroteca.eldiariomontanes.es	eldiariomontanes	criteoDomain
local-www.eldiariomontanes.es	eldiariomontanes	criteoDomain
loteria.eldiariomontanes.es	eldiariomontanes	criteoDomain
blogs.eldiariomontanes.es	eldiariomontanes	criteoDomain
cabeceras.eldiariomontanes.es	eldiariomontanes	criteoDomain
agenda.eldiariomontanes.es	eldiariomontanes	criteoDomain
app.eldiariomontanes.es	eldiariomontanes	criteoDomain
areapersonal.eldiariomontanes.es	eldiariomontanes	criteoDomain
new-www.eldiariomontanes.es	eldiariomontanes	criteoDomain
pre-blogs.eldiariomontanes.es	eldiariomontanes	criteoDomain
pre-hemeroteca.eldiariomontanes.es	eldiariomontanes	criteoDomain
preview-www.eldiariomontanes.es	eldiariomontanes	criteoDomain
pre-www.eldiariomontanes.es	eldiariomontanes	criteoDomain
secure.eldiariomontanes.es	eldiariomontanes	criteoDomain
