coso	site	channel	format	origen
/7811748/biwenger_app/android/seasonStats-mpu1	biwenger	app	display	criteoSubid
/7811748/biwenger_app/android/seasonStats-mpu2	biwenger	app	display	criteoSubid
/7811748/biwenger_app/android/seasonStats-mpu3	biwenger	app	display	criteoSubid
/7811748/biwenger_app/android/settings-mldb2	biwenger	app	display	criteoSubid
/7811748/biwenger_app/android/squad-mldb2	biwenger	app	display	criteoSubid
/7811748/biwenger_app/android/squad-mpu1	biwenger	app	display	criteoSubid
/7811748/biwenger_app/android/squad-mpu2	biwenger	app	display	criteoSubid
/7811748/biwenger_app/android/squad-mpu3	biwenger	app	display	criteoSubid
/7811748/biwenger_app/android/stats-mldb2	biwenger	app	display	criteoSubid
/7811748/biwenger_app/android/stats-mpu1	biwenger	app	display	criteoSubid
/7811748/biwenger_app/android/team-mldb2	biwenger	app	display	criteoSubid
/7811748/biwenger_app/android/team-mpu1	biwenger	app	display	criteoSubid
/7811748/biwenger_app/android/team-mpu3	biwenger	app	display	criteoSubid
/7811748/biwenger_app/android/tournament-mldb2	biwenger	app	display	criteoSubid
/7811748/biwenger_app/android/tournament-mpu3	biwenger	app	display	criteoSubid
/7811748/biwenger_app/android/user-mldb2	biwenger	app	display	criteoSubid
/7811748/biwenger_app/android/user-mpu1	biwenger	app	display	criteoSubid
/7811748/biwenger_app/android/user-mpu3	biwenger	app	display	criteoSubid
/7811748/biwenger_app/cycling/android/home-mpu2	biwenger	app	display	criteoSubid
/7811748/biwenger_app/cycling/android/market-mpu2	biwenger	app	display	criteoSubid
/7811748/biwenger_app/cycling/android/players-mpu2	biwenger	app	display	criteoSubid
/7811748/biwenger_app/cycling/android/squad-mpu2	biwenger	app	display	criteoSubid
/7811748/biwenger_app/cycling/iphone/home-mpu2	biwenger	app	display	criteoSubid
/7811748/biwenger_app/cycling/iphone/market-mpu2	biwenger	app	display	criteoSubid
/7811748/biwenger_app/cycling/iphone/round-mpu2	biwenger	app	display	criteoSubid
/7811748/biwenger_app/cycling/iphone/squad-mpu2	biwenger	app	display	criteoSubid
/7811748/biwenger_app/iphone/account-mldb2	biwenger	app	display	criteoSubid
/7811748/biwenger_app/iphone/challenges-mldb2	biwenger	app	display	criteoSubid
/7811748/biwenger_app/iphone/challenges-mpu3	biwenger	app	display	criteoSubid
/7811748/biwenger_app/iphone/comparator-mldb2	biwenger	app	display	criteoSubid
/7811748/biwenger_app/iphone/comparator-mpu1	biwenger	app	display	criteoSubid
/7811748/biwenger_app/iphone/comparator-mpu3	biwenger	app	display	criteoSubid
/7811748/biwenger_app/iphone/draft-mldb2	biwenger	app	display	criteoSubid
/7811748/biwenger_app/iphone/draft-mpu3	biwenger	app	display	criteoSubid
/7811748/biwenger_app/iphone/group-mldb2	biwenger	app	display	criteoSubid
/7811748/biwenger_app/iphone/group-mpu1	biwenger	app	display	criteoSubid
/7811748/biwenger_app/iphone/group-mpu3	biwenger	app	display	criteoSubid
/7811748/biwenger_app/iphone/home-mldb2	biwenger	app	display	criteoSubid
/7811748/biwenger_app/iphone/home-mpu1	biwenger	app	display	criteoSubid
/7811748/biwenger_app/iphone/home-mpu2	biwenger	app	display	criteoSubid
/7811748/biwenger_app/iphone/join-mpu1	biwenger	app	display	criteoSubid
/7811748/biwenger_app/iphone/league-mldb2	biwenger	app	display	criteoSubid
/7811748/biwenger_app/iphone/league-mpu1	biwenger	app	display	criteoSubid
/7811748/biwenger_app/iphone/league-mpu2	biwenger	app	display	criteoSubid
/7811748/biwenger_app/iphone/league-mpu3	biwenger	app	display	criteoSubid
/7811748/biwenger_app/iphone/market-mldb2	biwenger	app	display	criteoSubid
/7811748/biwenger_app/iphone/market-mpu1	biwenger	app	display	criteoSubid
/7811748/biwenger_app/iphone/market-mpu2	biwenger	app	display	criteoSubid
