coso	site	channel	origen
/7811748/as_mob/deporteyvida/videos	as		amazonPrisa
/7811748/as_mob/diarioas/actualidad	as	mob	amazonPrisa
/7811748/as_mob/diarioas/actualidad/portada	as	mob	amazonPrisa
/7811748/as_mob/diarioas/directo	as	mob	amazonPrisa
/7811748/as_mob/en/directo	as		amazonPrisa
/7811748/as_mob/en/football	as		amazonPrisa
/7811748/as_mob/en/football/portada	as		amazonPrisa
/7811748/as_mob/en/infografia	as		amazonPrisa
/7811748/as_mob/en/latest_news	as		amazonPrisa
/7811748/as_mob/en/latest_news/portada	as		amazonPrisa
/7811748/as_mob/en/opinion	as		amazonPrisa
/7811748/as_mob/en/opinion/portada	as		amazonPrisa
/7811748/as_mob/en/other_sports	as		amazonPrisa
/7811748/as_mob/en/other_sports/portada	as		amazonPrisa
/7811748/as_mob/en/portada	as		amazonPrisa
/7811748/as_mob/en/reportajes	as		amazonPrisa
/7811748/as_mob/en/videos	as		amazonPrisa
/7811748/as_mob/encuestas	as		amazonPrisa
/7811748/as_mob/entrevistas	as		amazonPrisa
/7811748/as_mob/entrevistas/portada	as		amazonPrisa
/7811748/as_mob/epik	as_epik		amazonPrisa
/7811748/as_mob/epik/portada	as_epik		amazonPrisa
/7811748/as_mob/epik/videos	as_epik		amazonPrisa
/7811748/as_mob/esports/counter_strike	as_esports		amazonPrisa
/7811748/as_mob/esports/hearthstone	as_esports		amazonPrisa
/7811748/as_mob/esports/league_of_legends	as_esports		amazonPrisa
/7811748/as_mob/esports/mas_esports	as_esports		amazonPrisa
/7811748/as_mob/esports/portada	as_esports		amazonPrisa
/7811748/as_mob/esports/portada/portada	as_esports		amazonPrisa
/7811748/as_mob/fotogalerias/baloncesto	as		amazonPrisa
/7811748/as_mob/fotogalerias/buenavida	as		amazonPrisa
/7811748/as_mob/fotogalerias/ciclismo	as		amazonPrisa
/7811748/as_mob/fotogalerias/deportes_accion	as		amazonPrisa
/7811748/as_mob/fotogalerias/en	as		amazonPrisa
/7811748/as_mob/fotogalerias/epik	as		amazonPrisa
/7811748/as_mob/fotogalerias/epik/equipo	as		amazonPrisa
/7811748/as_mob/fotogalerias/futbol	as		amazonPrisa
/7811748/as_mob/fotogalerias/lachicadeas	as		amazonPrisa
/7811748/as_mob/fotogalerias/masdeporte	as		amazonPrisa
/7811748/as_mob/fotogalerias/motor	as		amazonPrisa
/7811748/as_mob/fotogalerias/ocio	as		amazonPrisa
/7811748/as_mob/fotogalerias/tenis	as		amazonPrisa
/7811748/as_mob/fotogalerias/tikitakas	as		amazonPrisa
/7811748/as_mob/fotorrelato/baloncesto	as		amazonPrisa
/7811748/as_mob/fotorrelato/ciclismo	as		amazonPrisa
/7811748/as_mob/fotorrelato/deportes_accion	as		amazonPrisa
/7811748/as_mob/fotorrelato/epik	as		amazonPrisa
/7811748/as_mob/fotorrelato/futbol	as		amazonPrisa
/7811748/as_mob/fotorrelato/futbol/portada	as		amazonPrisa
/7811748/as_mob/fotorrelato/masdeporte	as		amazonPrisa
/7811748/as_mob/fotorrelato/motor	as		amazonPrisa
/7811748/as_mob/fotorrelato/tenis	as		amazonPrisa
/7811748/as_mob/futbol	as_futbol		amazonPrisa
/7811748/as_mob/futbol/balon_oro	as_futbol		amazonPrisa
/7811748/as_mob/futbol/copa_africa	as_futbol		amazonPrisa
/7811748/as_mob/futbol/copa_america	as_futbol		amazonPrisa
/7811748/as_mob/futbol/copa_america/portada	as_futbol		amazonPrisa
/7811748/as_mob/futbol/copa_del_rey	as_futbol		amazonPrisa
/7811748/as_mob/futbol/copa_del_rey/portada	as_futbol		amazonPrisa
/7811748/as_mob/futbol/directo	as_futbol		amazonPrisa
/7811748/as_mob/futbol/eurocopa	as_futbol		amazonPrisa
/7811748/as_mob/futbol/eurocopa/especial	as_futbol		amazonPrisa
/7811748/as_mob/futbol/eurocopa/portada	as_futbol		amazonPrisa
/7811748/as_mob/futbol/europa_liga	as_futbol		amazonPrisa
/7811748/as_mob/futbol/europa_liga/portada	as_futbol		amazonPrisa
/7811748/as_mob/futbol/femenino	as_futbol		amazonPrisa
/7811748/as_mob/futbol/femenino/portada	as_futbol		amazonPrisa
/7811748/as_mob/futbol/infografia	as_futbol		amazonPrisa
/7811748/as_mob/futbol/internacional	as_futbol		amazonPrisa
/7811748/as_mob/futbol/internacional/portada	as_futbol		amazonPrisa
/7811748/as_mob/futbol/liga_de_campeones	as_futbol		amazonPrisa
/7811748/as_mob/futbol/liga_de_campeones/portada	as_futbol		amazonPrisa
/7811748/as_mob/futbol/mas_futbol	as_futbol		amazonPrisa
