coso	site	origen
/4900/webm.ABC/AMP/deportes/tenis/masters-de-madrid/	abc	amazonVocentoSlotname
/4900/webm.ABC/AMP/economia/declaracion-renta	abc	amazonVocentoSlotname
/4900/webm.ABC/AMP/economia/finanzas-personales	abc	amazonVocentoSlotname
/4900/webm.ABC/AMP/economia/formacion	abc	amazonVocentoSlotname
/4900/webm.ABC/AMP/economia/inmobiliario	abc	amazonVocentoSlotname
/4900/webm.ABC/AMP/economia/inmobiliario/asesor	abc	amazonVocentoSlotname
/4900/webm.ABC/AMP/eleccionescatalanas	abc	amazonVocentoSlotname
/4900/webm.ABC/AMP/eleccioneseuropeas	abc	amazonVocentoSlotname
/4900/webm.ABC/AMP/eleccionesgallegas	abc	amazonVocentoSlotname
/4900/webm.ABC/AMP/elecciones-generales	abc	amazonVocentoSlotname
/4900/webm.ABC/AMP/eleccionesvascas	abc	amazonVocentoSlotname
/4900/webm.ABC/AMP/espana/crimenes-extraordinarios	abc	amazonVocentoSlotname
/4900/webm.ABC/AMP/espana/documentos	abc	amazonVocentoSlotname
/4900/webm.ABC/AMP/espana/latransicion	abc	amazonVocentoSlotname
/4900/webm.ABC/AMP/espana/seisnoticias	abc	amazonVocentoSlotname
/4900/webm.ABC/AMP/estilo/belleza	abc	amazonVocentoSlotname
/4900/webm.ABC/AMP/estilo/decoracion	abc	amazonVocentoSlotname
/4900/webm.ABC/AMP/estilo/gastronomia	abc	amazonVocentoSlotname
/4900/webm.ABC/AMP/estilo/gente	abc	amazonVocentoSlotname
/4900/webm.ABC/AMP/estilo/moda	abc	amazonVocentoSlotname
/4900/webm.ABC/AMP/extremadura	abc	amazonVocentoSlotname
/4900/webm.ABC/AMP/familia/supersanos	abc	amazonVocentoSlotname
/4900/webm.ABC/AMP/favorito/bebe/dormitorio/	abc	amazonVocentoSlotname
/4900/webm.ABC/AMP/favorito/bebe/higiene-lactancia/	abc	amazonVocentoSlotname
/4900/webm.ABC/AMP/favorito/bebe/juguetes/	abc	amazonVocentoSlotname
/4900/webm.ABC/AMP/favorito/bebe/sillas-de-paseo/	abc	amazonVocentoSlotname
/4900/webm.ABC/AMP/favorito/cuidado-personal/belleza/	abc	amazonVocentoSlotname
/4900/webm.ABC/AMP/favorito/cuidado-personal/dieta-nutricion/	abc	amazonVocentoSlotname
/4900/webm.ABC/AMP/favorito/cuidado-personal/higiene/	abc	amazonVocentoSlotname
/4900/webm.ABC/AMP/favorito/cuidado-personal/sexo-sexualidad/	abc	amazonVocentoSlotname
/4900/webm.ABC/AMP/favorito/electronica	abc	amazonVocentoSlotname
/4900/webm.ABC/AMP/favorito/electronica/accesorios/	abc	amazonVocentoSlotname
/4900/webm.ABC/AMP/favorito/electronica/monitores/	abc	amazonVocentoSlotname
/4900/webm.ABC/AMP/favorito/electronica/moviles-smartphones/	abc	amazonVocentoSlotname
/4900/webm.ABC/AMP/favorito/electronica/portatiles/	abc	amazonVocentoSlotname
/4900/webm.ABC/AMP/favorito/electronica/tablets/	abc	amazonVocentoSlotname
/4900/webm.ABC/AMP/favorito/electronica/wearables/	abc	amazonVocentoSlotname
/4900/webm.ABC/AMP/favorito/hogar	abc	amazonVocentoSlotname
/4900/webm.ABC/AMP/favorito/hogar/bano/	abc	amazonVocentoSlotname
/4900/webm.ABC/AMP/favorito/hogar/cocina-y-comedor/	abc	amazonVocentoSlotname
/4900/webm.ABC/AMP/favorito/hogar/dormitorio/	abc	amazonVocentoSlotname
/4900/webm.ABC/AMP/favorito/hogar/electrodomesticos/	abc	amazonVocentoSlotname
/4900/webm.ABC/AMP/favorito/hogar/pequeno-electrodomestico/	abc	amazonVocentoSlotname
/4900/webm.ABC/AMP/favorito/hogar/salon/	abc	amazonVocentoSlotname
/4900/webm.ABC/AMP/favorito/hogar/terraza-y-jardin/	abc	amazonVocentoSlotname
/4900/webm.ABC/AMP/favoritor/home	abc	amazonVocentoSlotname
/4900/webm.ABC/AMP/galicia	abc	amazonVocentoSlotname
/4900/webm.ABC/AMP/gastronomia/madrid-fusion	abc	amazonVocentoSlotname
/4900/webm.ABC/AMP/gastronomia/vinos	abc	amazonVocentoSlotname
/4900/webm.ABC/AMP/guadalajara	abc	amazonVocentoSlotname
/4900/webm.ABC/AMP/hogar	abc	amazonVocentoSlotname
/4900/webm.ABC/AMP/internacional/estadosunidos	abc	amazonVocentoSlotname
/4900/webm.ABC/AMP/loteria	abc	amazonVocentoSlotname
/4900/webm.ABC/AMP/loteria-navidad	abc	amazonVocentoSlotname
/4900/webm.ABC/AMP/loteria-nino	abc	amazonVocentoSlotname
/4900/webm.ABC/AMP/loterias	abc	amazonVocentoSlotname
/4900/webm.ABC/AMP/loultimo/portada	abc	amazonVocentoSlotname
/4900/webm.ABC/AMP/madrid/distritos	abc	amazonVocentoSlotname
/4900/webm.ABC/AMP/madrid/planb	abc	amazonVocentoSlotname
/4900/webm.ABC/AMP/mediosyredes	abc	amazonVocentoSlotname
/4900/webm.ABC/AMP/melilla	abc	amazonVocentoSlotname
/4900/webm.ABC/AMP/motor/reportajes	abc	amazonVocentoSlotname
/4900/webm.ABC/AMP/murcia	abc	amazonVocentoSlotname
/4900/webm.ABC/AMP/natural	abc	amazonVocentoSlotname
/4900/webm.ABC/AMP/navarra	abc	amazonVocentoSlotname
/4900/webm.ABC/AMP/pais_vasco	abc	amazonVocentoSlotname
/4900/webm.ABC/AMP/play	abc	amazonVocentoSlotname
/4900/webm.ABC/AMP/play/cine	abc	amazonVocentoSlotname
/4900/webm.ABC/AMP/play/cine/criticas	abc	amazonVocentoSlotname
/4900/webm.ABC/AMP/play/cine/oscars	abc	amazonVocentoSlotname
/4900/webm.ABC/AMP/play/cine/peliculas	abc	amazonVocentoSlotname
/4900/webm.ABC/AMP/play/cine/trailers	abc	amazonVocentoSlotname
/4900/webm.ABC/AMP/play/series	abc	amazonVocentoSlotname
/4900/webm.ABC/AMP/play/series/criticas	abc	amazonVocentoSlotname
/4900/webm.ABC/AMP/play/series/trailers	abc	amazonVocentoSlotname
/4900/webm.ABC/AMP/play/television	abc	amazonVocentoSlotname
/4900/webm.ABC/AMP/play/television/videos	abc	amazonVocentoSlotname
/4900/webm.ABC/AMP/radioytelevision	abc	amazonVocentoSlotname
/4900/webm.ABC/AMP/recreo/consejos	abc	amazonVocentoSlotname
/4900/webm.ABC/AMP/recreo/horoscopo	abc	amazonVocentoSlotname
/4900/webm.ABC/AMP/san-fermin	abc	amazonVocentoSlotname
/4900/webm.ABC/AMP/sociedad/espanaenfemenino	abc	amazonVocentoSlotname
