coso	publisher	site	channel	format	origen
xlsemanal.com	vocento	xlsemanal	amp		invibes
zafra-hoy-es.cdn.ampproject.org	vocento	hoy	amp		invibes
zalamea-hoy-es.cdn.ampproject.org	vocento	hoy	amp		invibes
as.com	prisa	as	any		invibes
cadenaser.com	prisa	cadenaser	any		invibes
elpais.com	prisa	elpais	any		invibes
los40.com	prisa	los40	any		invibes
huffingtonpost.es	prisa	huffingtonpost	any		invibes
as.com/futbol	prisa	as	any		invibes
as.com/meristation	prisa	as	any		invibes
as.com/motor	prisa	as	any		invibes
as.com/tikitakas	prisa	as	any		invibes
esports.as.com	prisa	as	any		invibes
ejerciciosencasa.as.com	prisa	as_ejerciciosencasa	any		invibes
